aspect,phrase_count,phrase_avg_rating,review_count,review_avg_rating
Skin,1032,4.476744186046512,562,4.462633451957295
Texture,365,4.512328767123288,253,4.521739130434782
Application,152,4.427631578947368,114,4.385964912280702
Sentiment,146,4.780821917808219,133,4.7669172932330826
Demographic,138,4.760869565217392,115,4.817391304347826
Allergy,118,3.3559322033898304,106,3.452830188679245
Performance,108,4.268518518518518,86,4.290697674418604
Price,94,4.776595744680851,87,4.758620689655173
Motivation,92,4.271739130434782,82,4.2560975609756095
Odor,92,4.043478260869565,77,4.12987012987013
Purchase,74,4.635135135135135,71,4.619718309859155
Packaging,71,4.647887323943662,55,4.709090909090909
Competitor,51,4.372549019607843,41,4.2682926829268295
Ingredients,37,4.135135135135135,27,4.074074074074074
Brand,36,4.666666666666667,30,4.7
Super dry skin,4,5.0,1,5.0
Temperature,2,5.0,2,5.0
Motivator,1,5.0,1,5.0
Customer,1,1.0,1,1.0
Sent,1,5.0,1,5.0
Substitute,1,5.0,1,5.0
Age,1,5.0,1,5.0
