aspect,phrase_count,Phrase_Avg_Rating,Review_Avg_Rating,review_count
allergy,127,4.141732283464567,4.158415841584159,41
application,42,4.238095238095238,4.222222222222222,86
brand,6,4.333333333333333,4.2,33
competitor,55,4.0,3.9444444444444446,25
demographic,8,3.5,3.857142857142857,73
ingredients,30,4.433333333333334,4.5,31
motivation,12,3.6666666666666665,3.6666666666666665,74
odor,32,4.0625,4.068965517241379,37
packaging,17,3.8823529411764706,3.9166666666666665,38
performance,27,4.444444444444445,4.3478260869565215,81
price,23,4.130434782608695,4.0476190476190474,57
purchase,25,4.16,4.16,60
sentiment,41,4.048780487804878,3.973684210526316,125
skin,146,4.1506849315068495,4.12,354
texture,57,4.105263157894737,4.157894736842105,190
