Tid,Topic,#_PIDs,Avg_Rating
t1,product,352,4.0
t2,and,186,4.05
t3,moisturizer,142,4.3
t4,cream,109,4.09
t5,skin,65,4.0
t6,hydrating,58,4.52
t7,face,53,3.49
t8,greasy,47,4.11
t9,dry,47,4.47
t10,acne,36,3.94
t11,smell,34,3.85
t12,hands,31,3.68
t13,tubes,30,2.6
t14,winter,29,4.72
t15,sensitive,28,3.79
t16,thick,27,4.48
t17,redness,26,4.62
t18,burn,25,2.72
t19,eczema,23,4.57
t20,breakout,23,2.83
t21,love,22,4.59
t22,makeup,21,3.67
t23,moisturized,15,3.6
t24,aid,15,4.33
t25,combo,12,4.58
t26,absorbs,12,4.83
t27,grail,11,4.73
t28,cerave,11,3.73
